
timestamp,cars_present,emergency_vehicle,scheduling_model
2025-09-24T03:16:50.290Z,0,0,Round Robin
2025-09-24T03:16:55.290Z,3,0,Round Robin
2025-09-24T03:17:00.298Z,4,0,Round Robin
2025-09-24T03:17:05.299Z,6,1,Priority Scheduling
2025-09-24T03:17:10.314Z,8,1,Priority Scheduling
2025-09-24T03:17:15.326Z,9,1,Priority Scheduling
2025-09-24T03:17:20.334Z,9,1,Priority Scheduling
2025-09-24T03:17:25.355Z,9,1,Priority Scheduling
2025-09-24T03:17:30.573Z,10,1,Priority Scheduling
2025-09-24T03:17:35.576Z,14,1,Priority Scheduling
2025-09-24T03:17:40.613Z,11,1,Priority Scheduling
2025-09-24T03:17:45.619Z,13,1,Priority Scheduling
2025-09-24T03:17:50.752Z,14,1,Priority Scheduling
2025-09-24T03:17:55.755Z,16,1,Priority Scheduling
2025-09-24T03:18:00.763Z,18,1,Priority Scheduling
2025-09-24T03:18:05.786Z,19,1,Priority Scheduling
2025-09-24T03:18:10.801Z,16,1,Priority Scheduling
2025-09-24T03:52:07.459Z,0,0,Round Robin
2025-09-24T04:16:44.874Z,0,0,Round Robin
2025-09-24T04:48:53.330Z,0,0,Round Robin
2025-09-24T04:48:58.333Z,5,0,Priority Scheduling
2025-09-24T04:49:03.345Z,13,1,Priority Scheduling
2025-09-24T04:53:55.826Z,0,0,Round Robin
2025-09-24T04:54:00.827Z,2,0,Round Robin
2025-09-24T04:54:06.261Z,3,0,Round Robin
2025-09-24T04:54:11.269Z,4,1,Priority Scheduling
2025-09-24T04:54:16.277Z,4,0,Round Robin
2025-09-24T04:54:21.285Z,7,0,Priority Scheduling
2025-09-24T04:54:26.302Z,8,1,Priority Scheduling
2025-09-24T04:54:31.319Z,9,1,Priority Scheduling
2025-09-24T04:54:36.332Z,8,0,Priority Scheduling
2025-09-24T04:54:41.345Z,11,1,Priority Scheduling
2025-09-24T04:54:46.355Z,13,1,Priority Scheduling
2025-09-24T04:54:51.354Z,13,1,Priority Scheduling
2025-09-24T04:54:56.353Z,12,1,Priority Scheduling
2025-09-24T04:55:01.362Z,11,1,Priority Scheduling
2025-09-24T04:55:06.378Z,12,1,Priority Scheduling
2025-09-24T04:55:11.381Z,15,1,Priority Scheduling
2025-09-24T04:55:16.388Z,16,1,Priority Scheduling
2025-09-24T04:55:21.419Z,16,1,Priority Scheduling
2025-09-24T04:55:26.420Z,17,1,Priority Scheduling
2025-09-24T04:55:31.456Z,19,1,Priority Scheduling
2025-09-24T04:55:36.490Z,19,1,Priority Scheduling
2025-09-24T04:55:41.499Z,21,1,Priority Scheduling
2025-09-24T04:55:46.511Z,23,1,Priority Scheduling
2025-09-24T04:55:51.513Z,24,1,Priority Scheduling
2025-09-24T04:55:56.539Z,27,1,Priority Scheduling
2025-09-24T04:56:01.574Z,27,1,Priority Scheduling
2025-09-24T04:56:06.601Z,26,1,Priority Scheduling
2025-09-24T04:56:11.617Z,29,1,Priority Scheduling
2025-09-24T04:56:17.521Z,28,1,Priority Scheduling
2025-09-24T04:56:22.543Z,31,1,Priority Scheduling
2025-09-24T04:56:27.572Z,32,1,Priority Scheduling
2025-09-24T04:56:32.603Z,33,1,Priority Scheduling
2025-09-24T04:56:38.387Z,33,1,Priority Scheduling
2025-09-24T04:56:43.383Z,34,1,Priority Scheduling
2025-09-24T04:56:49.127Z,34,1,Priority Scheduling
2025-09-24T04:56:54.143Z,36,1,Priority Scheduling
2025-09-24T04:56:59.180Z,38,1,Priority Scheduling
2025-09-24T04:57:04.207Z,39,1,Priority Scheduling
2025-09-24T04:57:09.240Z,40,1,Priority Scheduling
2025-09-24T04:57:14.282Z,40,1,Priority Scheduling
2025-09-24T04:57:19.295Z,37,1,Priority Scheduling
2025-09-24T04:57:24.334Z,35,1,Priority Scheduling
2025-09-24T04:57:29.343Z,36,1,Priority Scheduling
2025-09-24T04:57:34.384Z,38,1,Priority Scheduling
2025-09-24T04:57:39.399Z,39,1,Priority Scheduling
2025-09-24T04:57:44.409Z,40,1,Priority Scheduling
2025-09-24T04:57:49.426Z,40,1,Priority Scheduling
2025-09-24T04:57:54.472Z,38,1,Priority Scheduling
